Дата;Признак портфеля;Вид имущества;Номер и дата договора;Наименование фонда;Тип актива;Эмитент / Контрагент;ИНН Контрагента / Эмитента;Рег. номер;ISIN;Краткое наименование инструмента;Полное наименование инструмента;Номинал;Валюта;Количество (без учета РЕПО);Сумма без НКД;НКД, руб.;Сумма с НКД, руб.;Дата погашения депозита;Текущая процентная ставка по депозиту;Вид процентной ставки по депозиту;Лучший рейтинг инструмента;Рейтинговое агентство инструмента;Лучший рейтинг эмитента;Рейтинговое агентство эмитента;Метод учета
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Дебиторская задолженность по РЕПО;Минфин России;7710168360;29025RMFS;RU000A106Z61;Минфин России 29025RMFS;Облигация Минфин России 29025RMFS;1 000;RUB;;4 195 006 438,92;0;4 195 006 438,92;28.04.2026 0:00:00;14,8;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;29025RMFS;RU000A106Z61;Минфин России 29025RMFS;Облигация Минфин России 29025RMFS;1 000;RUB;;6 292,51;0;6 292,51;28.04.2026 0:00:00;14,8;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;26246RMFS;RU000A108EE1;Минфин России 26246RMFS;Облигация Минфин России 26246RMFS;1 000;RUB;;636,36;0;636,36;28.04.2026 0:00:00;14,81;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Дебиторская задолженность по РЕПО;Минфин России;7710168360;26246RMFS;RU000A108EE1;Минфин России 26246RMFS;Облигация Минфин России 26246RMFS;1 000;RUB;;600 339 976,76;0;600 339 976,76;28.04.2026 0:00:00;14,81;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;26246RMFS;RU000A108EE1;Минфин России 26246RMFS;Облигация Минфин России 26246RMFS;1 000;RUB;;1 260,71;0;1 260,71;28.04.2026 0:00:00;14,81;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;26251RMFS;RU000A10CKT3;Минфин России 26251RMFS;Облигация Минфин России 26251RMFS;1 000;RUB;;2 488,35;0;2 488,35;28.04.2026 0:00:00;14,85;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Дебиторская задолженность по РЕПО;Минфин России;7710168360;26251RMFS;RU000A10CKT3;Минфин России 26251RMFS;Облигация Минфин России 26251RMFS;1 000;RUB;;2 347 505 044,86;0;2 347 505 044,86;28.04.2026 0:00:00;14,85;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;26251RMFS;RU000A10CKT3;Минфин России 26251RMFS;Облигация Минфин России 26251RMFS;1 000;RUB;;3 521,26;0;3 521,26;28.04.2026 0:00:00;14,85;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;26251RMFS;RU000A10CKT3;Минфин России 26251RMFS;Облигация Минфин России 26251RMFS;1 000;RUB;;1 756,37;0;1 756,37;28.04.2026 0:00:00;14,83;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Дебиторская задолженность по РЕПО;Минфин России;7710168360;26251RMFS;RU000A10CKT3;Минфин России 26251RMFS;Облигация Минфин России 26251RMFS;1 000;RUB;;1 656 952 391,78;0;1 656 952 391,78;28.04.2026 0:00:00;14,83;С выплатой в конце срока;;;Снят;АКРА;не применимо
